power,T,MOMF,DIRECTION32,WS30,WS31,WS32,WS10,WS10S,DIRECTION30,DIRECTION31,DIR10,DIR10S,MSLP,CLC,SENF,LATF,SWR,LWR,PS,PRT,PRL,PRC,T2M,RH2M
0,280.47,0.07,69.48,6.58,5.82,4.33,2.59,2.86,75.38,73.38,61.24,62.3,1017.1,18.86,-5.31,12.81,120.72,-73.27,863.84,0,0,0,279.59,71.01
0,280.43,0.09,73.4,6.35,5.54,4.12,2.71,2.96,78.77,76.85,65.71,66.67,1016.94,21.19,-6.86,9.88,156.16,-74.67,863.9,0,0,0,279.8,69.39
0,280.38,0.1,77.31,6.12,5.26,3.91,2.83,3.06,82.15,80.31,70.19,71.04,1016.79,23.52,-8.41,6.95,191.61,-76.07,863.97,0,0,0,280,67.78
0,280.5,0.12,80.87,5.83,4.98,3.75,2.92,3.13,85.47,83.63,74.06,74.84,1016.56,24.53,-10.69,-0.47,224.77,-78.17,864,0,0,0,280.3,65.91
0,280.79,0.12,84.07,5.48,4.69,3.64,2.99,3.18,88.74,86.8,77.31,78.06,1016.26,24.22,-13.69,-12.37,255.64,-80.98,864,0,0,0,280.71,63.78
0,281.07,0.14,87.28,5.14,4.41,3.53,3.05,3.23,92,89.98,80.56,81.28,1015.97,23.92,-16.69,-24.28,286.51,-83.79,863.99,0,0,0,281.11,61.66
0,281.36,0.15,90.48,4.79,4.12,3.42,3.12,3.28,95.27,93.15,83.81,84.5,1015.67,23.61,-19.69,-36.18,317.38,-86.6,863.99,0,0,0,281.52,59.53
0,281.7,0.15,93.11,4.47,3.9,3.34,3.11,3.26,98.14,95.82,86.7,87.36,1015.4,22.98,-22.91,-50.17,348.75,-89.67,863.98,0,0,0,281.99,57.44
0,282.1,0.15,95.18,4.16,3.74,3.29,3.03,3.17,100.61,98,89.24,89.87,1015.16,22.02,-26.35,-66.24,380.62,-93.02,863.96,0,0,0,282.51,55.38
0,282.5,0.15,97.25,3.85,3.59,3.25,2.94,3.09,103.08,100.16,91.78,92.38,1014.93,21.05,-29.79,-82.31,412.48,-96.36,863.93,0,0,0,283.04,53.33
